DOCUMENTO,ORGANIZACION,FECHA,TIPOFACTURA,DESCRIPCION,PRODUCTO,PRODUCTODESCRIPCION,CENTRODECOSTO,CANTIDAD,PRECIO,IMPORTEMONPRINCIPAL,IMPORTEMONTRANSACCION,MONEDA,VENDEDOR,DESCUENTO
B-0001-00000102,Etigand S.A.,27-12-2019,Factura,,Consultoria Web,,Ventas A1,50.0000,5785.1240,289256.2000,289256.2000,Pesos Argentinos,,0E-28
B-0001-00000101,Javier Moroni,21-12-2019,Factura,,Honorarios,,Administración,1.0000,99586.7769,99586.7800,99586.7800,Pesos Argentinos,,0E-28
A-0001-00000231,Amazon Group,10-12-2019,Factura,,Parlantes para PC,,Ventas A1,30.0000,1990.0000,59700.0000,59700.0000,Pesos Argentinos,,0E-28
A-0001-00000230,Amazon Group,06-12-2019,Factura,,Mercaderia de Reventa,,Ventas A2,30.0000,10358.0000,310740.0000,310740.0000,Pesos Argentinos,,0E-28
A-0001-00000001,Juan Fernández,01-12-2019,Factura de Crédito Mipyme,,Productos Terminados,,,1.0000,1000.0000,1000.0000,1000.0000,Pesos Argentinos,,0E-28
A-0001-00000229,Manganello S.R.L,20-11-2019,Factura,,Consultoria Digital,,Ventas A1,50.0000,6300.0000,315000.0000,315000.0000,Pesos Argentinos,,0E-28
A-0001-00000228,Galardon S.A.,17-11-2019,Factura,,Impresora Multifuncion ,,Ventas A2,23.0000,10209.0000,234807.0000,234807.0000,Pesos Argentinos,,0E-28
A-0001-00000227,Klarkson,02-11-2019,Factura,,Cable RGB para video,,Ventas A1,60.0000,1030.5000,61830.0000,61830.0000,Pesos Argentinos,,0E-28
A-0001-00000226,Juan Fernández,15-10-2019,Factura,,Mercaderia de Reventa,,Ventas A2,30.0000,12354.0000,370620.0000,370620.0000,Pesos Argentinos,,0E-28
A-0001-00000225,Horizonte S.A.,02-10-2019,Factura,,Insumos oficina,,Ventas A1,30.0000,7785.0000,233550.0000,233550.0000,Pesos Argentinos,,0E-28
A-0001-00000224,Amazon Group,30-09-2019,Factura,,Servicios Profesionales,,,1.0000,6700.0000,6700.0000,6700.0000,Pesos Argentinos,,0E-28
A-0001-00000223,Manganello S.R.L,22-09-2019,Factura,,Televisor Led Samsung 32  Hd Con Soporte Y Control,,,6.0000,40600.0000,243600.0000,243600.0000,Pesos Argentinos,,0E-28
A-0001-00000222,Juan Fernández,15-09-2019,Factura,,Productos Terminados,,,10.0000,8888.5000,88885.0000,88885.0000,Pesos Argentinos,,0E-28
A-0001-00000221,Nicolasen y Asociados S.A.,10-09-2019,Factura,,Servicios Profesionales,,,1.0000,98900.0000,98900.0000,98900.0000,Pesos Argentinos,,0E-28
A-0001-00000220,Hernandez S.A.,02-09-2019,Factura,,Publicidad y Marketing,,,1.0000,105060.0000,105060.0000,105060.0000,Pesos Argentinos,,0E-28
